x	E1681
116.894	1.02491
117	1.02508
117.141	1.0176
117.283	1.01061
117.427	1.00419
117.572	0.998366
117.719	0.99315
117.866	0.988547
118	0.984883
118.148	0.984414
118.296	0.98403
118.445	0.983697
118.5	0.98358
118.649	0.986946
118.799	0.991203
118.948	0.99635
119.091	1.00209
119.234	1.00871
119.379	1.01625
119.5	1.02317
119.647	1.02358
119.794	1.0239
119.942	1.02416
120	1.02426
120.149	1.01638
120.298	1.00916
120.447	1.00261
120.596	0.996745
120.745	0.99155
120.895	0.987013
121	0.984218
121.15	0.983745
121.299	0.983359
121.449	0.983024
121.5	0.982916
121.65	0.986276
121.8	0.990529
121.95	0.995678
122.093	1.00142
122.237	1.00805
122.382	1.01561
122.5	1.02235
122.647	1.02278
122.794	1.0231
122.941	1.02336
123	1.02346
123.148	1.01562
123.297	1.00842
123.446	1.0019
123.595	0.996058
123.745	0.990887
123.894	0.986372
124	0.983572
124.15	0.983099
124.299	0.982713
124.449	0.982378
124.5	0.98227
124.65	0.985606
124.8	0.989836
124.95	0.994961
125.1	1.00099
125.25	1.00793
125.4	1.0158
125.5	1.02157
125.65	1.022
125.8	1.02233
125.95	1.0226
126	1.02268
126.15	1.01478
126.3	1.00755
126.45	1.00103
126.6	0.995199
126.75	0.990052
126.9	0.985568
127	0.982944
127.15	0.98247
127.3	0.982084
127.45	0.981749
127.5	0.981643
127.65	0.984959
127.8	0.989171
127.95	0.994278
128.1	1.00029
128.25	1.00721
128.4	1.01507
128.5	1.02081
128.65	1.02124
128.8	1.02157
128.95	1.02184
129	1.02193
129.15	1.01404
129.3	1.00684
129.45	1.00034
129.6	0.994529
129.75	0.989403
129.9	0.984942
130	0.982334
130.15	0.981861
130.3	0.981474
130.45	0.98114
130.5	0.981033
130.65	0.984327
130.8	0.988517
130.95	0.993603
131.1	0.999594
131.25	1.0065
131.4	1.01434
131.5	1.02007
131.65	1.0205
131.8	1.02083
131.95	1.0211
132	1.02119
132.15	1.01333
132.3	1.00615
132.45	0.999666
132.6	0.993878
132.75	0.988775
132.9	0.984336
133	0.981742
133.15	0.981269
133.3	0.980882
133.45	0.980548
133.5	0.980442
133.65	0.983714
133.8	0.987882
133.95	0.992947
134.1	0.998919
134.25	1.0058
134.4	1.01363
134.5	1.01935
134.65	1.01978
134.8	1.02011
134.95	1.02039
135	1.02047
135.15	1.01263
135.3	1.00547
135.45	0.999013
135.6	0.993246
135.75	0.988164
135.9	0.983746
136	0.981167
136.15	0.980694
136.3	0.980308
136.45	0.979973
136.5	0.979867
136.65	0.983118
136.8	0.987266
136.95	0.992311
137.1	0.998263
137.25	1.00513
137.4	1.01294
137.5	1.01864
137.65	1.01908
137.8	1.01942
137.95	1.01969
138	1.01978
138.15	1.01196
138.3	1.00482
138.45	0.998379
138.6	0.992633
138.75	0.987572
138.9	0.983175
139	0.980609
139.15	0.980136
139.3	0.97975
139.45	0.979416
139.5	0.979309
139.65	0.98254
139.8	0.986667
139.95	0.991692
140.1	0.997626
140.25	1.00448
140.4	1.01226
140.5	1.01796
140.65	1.0184
140.8	1.01874
140.95	1.01902
141	1.0191
141.15	1.0113
141.3	1.00418
141.45	0.997763
141.6	0.992038
141.75	0.986997
141.9	0.98262
142	0.980068
142.15	0.979594
142.3	0.979208
142.45	0.978875
142.5	0.978768
142.65	0.981979
142.8	0.986086
142.95	0.991092
143.1	0.997008
143.25	1.00384
143.4	1.01161
143.5	1.0173
143.65	1.01774
143.8	1.01808
143.95	1.01836
144	1.01845
144.15	1.01067
144.3	1.00357
144.45	0.997166
144.6	0.99146
144.75	0.986439
144.9	0.982081
145	0.979542
145.15	0.979069
145.3	0.978683
145.45	0.978349
145.5	0.978243
145.65	0.981435
145.8	0.985523
145.95	0.99051
146.1	0.996408
146.25	1.00322
146.4	1.01098
146.5	1.01666
146.65	1.0171
146.8	1.01744
146.95	1.01772
147	1.01781
147.15	1.01005
147.3	1.00297
147.45	0.996586
147.6	0.990899
147.75	0.985897
147.9	0.981558
148	0.979032
148.15	0.978558
148.3	0.978173
148.45	0.977839
148.5	0.977733
148.65	0.980906
148.8	0.984975
148.95	0.989944
149.1	0.995826
149.25	1.00262
149.4	1.01036
149.5	1.01604
149.65	1.01648
149.8	1.01682
149.95	1.01711
150	1.0172
150.15	1.00945
150.3	1.00239
150.45	0.996023
150.6	0.990355
150.75	0.985371
150.9	0.981051
151	0.978537
151.15	0.978063
151.3	0.977678
151.45	0.977345
151.5	0.977238
151.65	0.980393
151.8	0.984444
151.95	0.989396
152.1	0.99526
152.25	1.00204
152.4	1.00977
152.5	1.01544
152.65	1.01588
152.8	1.01622
152.95	1.01651
153	1.0166
153.15	1.00887
153.3	1.00182
153.45	0.995477
153.6	0.989826
153.75	0.98486
153.9	0.980558
154	0.978056
154.15	0.977583
154.3	0.977197
154.45	0.976864
154.5	0.976758
154.65	0.979895
154.8	0.983929
154.95	0.988863
155.1	0.994711
155.25	1.00148
155.4	1.00919
155.5	1.01485
155.65	1.01529
155.8	1.01564
155.95	1.01592
156	1.01601
156.15	1.0083
156.3	1.00127
156.45	0.994946
156.6	0.989313
156.75	0.984365
156.9	0.98008
157	0.97759
157.15	0.977116
157.3	0.976731
157.45	0.976398
157.5	0.976292
157.65	0.979411
157.8	0.983428
157.95	0.988345
158.1	0.994178
158.25	1.00093
158.4	1.00862
158.5	1.01427
158.65	1.01472
158.8	1.01507
158.95	1.01536
159	1.01545
159.15	1.00775
159.3	1.00074
159.45	0.994431
159.6	0.988815
159.75	0.983884
159.9	0.979616
160	0.977137
160.15	0.976664
160.3	0.976278
160.45	0.975946
160.5	0.97584
160.65	0.978942
160.8	0.982942
160.95	0.987843
161.1	0.993661
161.25	1.0004
161.4	1.00808
161.5	1.01372
161.65	1.01417
161.8	1.01452
161.95	1.01481
162	1.0149
162.15	1.00722
162.3	1.00023
162.45	0.993931
162.6	0.988331
162.75	0.983417
162.9	0.979166
163	0.976698
163.15	0.976224
163.3	0.975839
163.45	0.975507
163.5	0.975401
163.65	0.978487
163.8	0.982471
163.95	0.987356
164.1	0.993158
164.25	0.999878
164.4	1.00755
164.5	1.01318
164.65	1.01363
164.8	1.01398
164.95	1.01428
165	1.01437
165.15	1.0067
165.3	0.999726
165.45	0.993445
165.6	0.987862
165.75	0.982964
165.9	0.978729
166	0.976271
166.15	0.975798
166.3	0.975413
166.45	0.97508
166.5	0.974975
166.65	0.978045
166.8	0.982013
166.95	0.986883
167.1	0.992671
167.15	0.994791
167.22	0.99794
167.306	1.0021
167.405	1.00726
167.5	1.01263
167.617	1.013
167.741	1.01332
167.87	1.01359
168	1.01383
168.137	1.00685
168.276	1.0003
168.417	0.994276
168.56	0.988805
168.705	0.983917
168.85	0.979621
168.997	0.975915
169	0.975845
169.148	0.975377
169.296	0.974996
169.445	0.974666
169.5	0.974549
169.649	0.977582
169.798	0.981508
169.948	0.986333
170.097	0.992073
170.154	0.994489
170.23	0.997907
170.32	1.00232
170.423	1.00773
170.5	1.01211
170.62	1.01249
170.745	1.01281
170.876	1.01309
171	1.01332
171.138	1.00631
171.278	0.999747
171.42	0.993716
171.563	0.988252
171.708	0.983378
171.854	0.979102
172	0.975436
172.147	0.974969
172.295	0.974589
172.444	0.97426
172.5	0.974141
172.649	0.977156
172.798	0.981064
172.947	0.985869
173.097	0.991591
173.161	0.994312
173.234	0.99763
173.323	1.00195
173.423	1.00728
173.5	1.01161
173.619	1.012
173.743	1.01231
173.873	1.01259
174	1.01283
174.137	1.00585
174.277	0.999318
174.419	0.993307
174.562	0.98786
174.707	0.983001
174.852	0.978737
174.999	0.975065
175	0.975044
175.148	0.974577
175.296	0.974196
175.445	0.973867
175.5	0.973751
175.649	0.976756
175.798	0.980655
175.948	0.985453
176.097	0.991169
176.162	0.993887
176.24	0.997474
176.334	1.00205
176.438	1.00762
176.5	1.01114
176.621	1.01153
176.748	1.01185
176.879	1.01213
177	1.01236
177.138	1.00534
177.279	0.998795
177.421	0.99278
177.565	0.987339
177.71	0.982494
